"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 23, 2008","1,188.22","1,207.61","1,221.15","1,187.06","0","-1.56"
"Sep 22, 2008","1,207.09","1,255.37","1,255.37","1,205.61","0","-3.82"
"Sep 19, 2008","1,255.08","1,213.11","1,265.12","1,213.11","0","4.03"
"Sep 18, 2008","1,206.51","1,157.08","1,211.14","1,133.50","0","4.33"
"Sep 17, 2008","1,156.39","1,210.34","1,210.34","1,155.88","0","-4.71"
"Sep 16, 2008","1,213.60","1,188.31","1,214.84","1,169.28","0","1.75"
"Sep 15, 2008","1,192.70","1,250.92","1,250.92","1,192.70","0","-4.71"
"Sep 12, 2008","1,251.70","1,245.88","1,255.09","1,233.81","0","0.21"
"Sep 11, 2008","1,249.05","1,229.04","1,249.98","1,211.54","0","1.38"
"Sep 10, 2008","1,232.04","1,227.50","1,243.90","1,221.60","0","0.61"
"Sep 09, 2008","1,224.51","1,267.98","1,268.66","1,224.51","0","-3.41"
"Sep 08, 2008","1,267.79","1,249.50","1,274.42","1,247.12","0","2.05"
"Sep 05, 2008","1,242.31","1,233.21","1,244.94","1,217.23","0","0.44"
"Sep 04, 2008","1,236.83","1,271.80","1,271.80","1,232.83","0","-2.99"
"Sep 03, 2008","1,274.98","1,276.61","1,280.60","1,265.59","0","-0.20"
"Sep 02, 2008","1,277.58","1,287.83","1,303.04","1,272.20","0","-0.41"
"Aug 29, 2008","1,282.83","1,296.49","1,297.59","1,282.74","0","-1.37"
"Aug 28, 2008","1,300.68","1,283.79","1,300.68","1,283.79","0","1.48"
"Aug 27, 2008","1,281.66","1,271.29","1,285.05","1,270.03","0","0.80"
"Aug 26, 2008","1,271.51","1,267.03","1,275.65","1,263.21","0","0.37"
"Aug 25, 2008","1,266.84","1,290.47","1,290.47","1,264.87","0","-1.96"
"Aug 22, 2008","1,292.20","1,277.59","1,293.09","1,277.59","0","1.13"
"Aug 21, 2008","1,277.72","1,271.07","1,281.40","1,265.22","0","0.25"
"Aug 20, 2008","1,274.54","1,267.34","1,276.01","1,261.16","0","0.62"
"Aug 19, 2008","1,266.69","1,276.65","1,276.65","1,263.11","0","-0.93"
"Aug 18, 2008","1,278.60","1,298.14","1,300.22","1,274.51","0","-1.51"
"Aug 15, 2008","1,298.20","1,293.85","1,302.05","1,290.74","0","0.41"
"Aug 14, 2008","1,292.93","1,282.11","1,300.11","1,276.84","0","0.55"
"Aug 13, 2008","1,285.83","1,288.64","1,294.03","1,274.86","0","-0.29"
"Aug 12, 2008","1,289.59","1,304.79","1,304.79","1,285.64","0","-1.21"
"Aug 11, 2008","1,305.32","1,294.42","1,313.15","1,291.41","0","0.69"
